id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,span volume,42,19,20,28,120,watch,baseline,monotonic-signal,raise-signal
m002,g002,latency skew,82,42,15,33,321,ship,edge,drag-penalty,drop-slack
m003,g003,signal loss,110,73,42,73,412,ship,recovery,confidence-floor,raise-drag
m004,g004,incident shape,40,15,4,51,232,ship,negative,lane-boundary,lower-confidence
m005,g005,span volume,61,24,32,64,199,ship,baseline,monotonic-signal,raise-signal
m006,g006,latency skew,62,55,27,26,213,ship,edge,drag-penalty,drop-slack
m007,g007,signal loss,114,54,33,54,393,ship,recovery,confidence-floor,raise-drag
m008,g008,incident shape,56,51,27,17,169,ship,negative,lane-boundary,lower-confidence
m009,g009,span volume,83,17,29,22,182,ship,baseline,monotonic-signal,raise-signal
m010,g010,latency skew,87,61,31,66,360,ship,edge,drag-penalty,drop-slack
m011,g011,signal loss,53,32,20,92,307,ship,recovery,confidence-floor,raise-drag
m012,g012,incident shape,39,15,5,54,230,ship,negative,lane-boundary,lower-confidence
m013,g013,span volume,89,44,25,59,348,ship,baseline,monotonic-signal,raise-signal
m014,g014,latency skew,60,50,14,59,328,ship,edge,drag-penalty,drop-slack
m015,g015,signal loss,97,37,17,64,408,ship,recovery,confidence-floor,raise-drag
m016,g016,incident shape,31,27,10,15,127,watch,negative,lane-boundary,lower-confidence
m017,g017,span volume,55,25,32,57,169,ship,baseline,monotonic-signal,raise-signal
m018,g018,latency skew,57,50,24,33,217,ship,edge,drag-penalty,drop-slack
m019,g019,signal loss,110,12,49,26,161,watch,recovery,confidence-floor,raise-drag
m020,g020,incident shape,96,60,32,14,276,ship,negative,lane-boundary,lower-confidence
m021,g021,span volume,101,51,28,32,329,ship,baseline,monotonic-signal,raise-signal
m022,g022,latency skew,50,3,7,72,265,ship,edge,drag-penalty,drop-slack
m023,g023,signal loss,76,68,26,63,360,ship,recovery,confidence-floor,raise-drag
m024,g024,incident shape,93,63,5,50,480,ship,negative,lane-boundary,lower-confidence
m025,g025,span volume,70,71,42,25,192,ship,baseline,monotonic-signal,raise-signal
m026,g026,latency skew,48,23,20,53,196,ship,edge,drag-penalty,drop-slack
m027,g027,signal loss,45,18,38,29,39,hold,recovery,confidence-floor,raise-drag
m028,g028,incident shape,47,48,17,8,168,ship,negative,lane-boundary,lower-confidence
m029,g029,span volume,61,30,12,65,313,ship,baseline,monotonic-signal,raise-signal
m030,g030,latency skew,58,13,11,91,327,ship,edge,drag-penalty,drop-slack
m031,g031,signal loss,64,58,19,66,345,ship,recovery,confidence-floor,raise-drag
m032,g032,incident shape,74,8,14,45,258,ship,negative,lane-boundary,lower-confidence
m033,g033,span volume,44,20,16,58,208,ship,baseline,monotonic-signal,raise-signal
m034,g034,latency skew,63,18,40,63,151,watch,edge,drag-penalty,drop-slack
m035,g035,signal loss,81,71,39,27,244,ship,recovery,confidence-floor,raise-drag
m036,g036,incident shape,93,59,10,43,433,ship,negative,lane-boundary,lower-confidence
m037,g037,span volume,112,56,41,32,307,ship,baseline,monotonic-signal,raise-signal
m038,g038,latency skew,67,11,37,25,88,hold,edge,drag-penalty,drop-slack
m039,g039,signal loss,97,77,44,26,277,ship,recovery,confidence-floor,raise-drag
m040,g040,incident shape,115,37,17,18,370,ship,negative,lane-boundary,lower-confidence
m041,g041,span volume,49,20,9,71,284,ship,baseline,monotonic-signal,raise-signal
m042,g042,latency skew,94,38,27,62,347,ship,edge,drag-penalty,drop-slack
m043,g043,signal loss,80,66,24,62,376,ship,recovery,confidence-floor,raise-drag
m044,g044,incident shape,33,42,13,11,140,watch,negative,lane-boundary,lower-confidence
m045,g045,span volume,110,32,34,52,328,ship,baseline,monotonic-signal,raise-signal
m046,g046,latency skew,50,19,4,28,224,ship,edge,drag-penalty,drop-slack
m047,g047,signal loss,72,66,39,20,193,ship,recovery,confidence-floor,raise-drag
m048,g048,incident shape,87,17,27,51,262,ship,negative,lane-boundary,lower-confidence
m049,g049,span volume,107,65,5,90,606,ship,baseline,monotonic-signal,raise-signal
m050,g050,latency skew,63,45,16,65,329,ship,edge,drag-penalty,drop-slack
m051,g051,signal loss,49,19,51,57,44,hold,recovery,confidence-floor,raise-drag
m052,g052,incident shape,45,73,39,44,174,ship,negative,lane-boundary,lower-confidence
m053,g053,span volume,100,68,38,62,370,ship,baseline,monotonic-signal,raise-signal
m054,g054,latency skew,117,65,39,26,338,ship,edge,drag-penalty,drop-slack
m055,g055,signal loss,46,39,48,55,86,hold,recovery,confidence-floor,raise-drag
m056,g056,incident shape,102,23,43,18,173,ship,negative,lane-boundary,lower-confidence
m057,g057,span volume,98,53,25,24,323,ship,baseline,monotonic-signal,raise-signal
m058,g058,latency skew,86,24,17,25,271,ship,edge,drag-penalty,drop-slack
m059,g059,signal loss,88,29,44,30,162,watch,recovery,confidence-floor,raise-drag
m060,g060,incident shape,93,63,26,57,389,ship,negative,lane-boundary,lower-confidence
m061,g061,span volume,108,13,22,61,362,ship,baseline,monotonic-signal,raise-signal
m062,g062,latency skew,105,14,22,61,355,ship,edge,drag-penalty,drop-slack
m063,g063,signal loss,115,34,51,23,204,ship,recovery,confidence-floor,raise-drag
m064,g064,incident shape,76,76,36,38,276,ship,negative,lane-boundary,lower-confidence
m065,g065,span volume,113,64,12,27,461,ship,baseline,monotonic-signal,raise-signal
m066,g066,latency skew,34,50,44,105,192,ship,edge,drag-penalty,drop-slack
